scopus_id,affiliation_name,affiliation_city,affiliation_country
SCOPUS_ID:84862813499,Peking University,Beijing,China
SCOPUS_ID:84862813499,Chinese Academy of Sciences,Beijing,China
SCOPUS_ID:80052410547,Peking University,Beijing,China
SCOPUS_ID:80052410547,University Michigan Ann Arbor,Ann Arbor,United States
SCOPUS_ID:79960865867,Peking University,Beijing,China
SCOPUS_ID:77955797120,Peking University,Beijing,China
SCOPUS_ID:84988492901,Peking University,Beijing,China
SCOPUS_ID:77957577773,Peking University,Beijing,China
SCOPUS_ID:0034505609,Peking University,Beijing,China
SCOPUS_ID:0034496887,Peking University,Beijing,China
SCOPUS_ID:84949925005,Peking University,Beijing,China
SCOPUS_ID:84946689529,Peking University,Beijing,China
SCOPUS_ID:85021946271,Peking University,Beijing,China
SCOPUS_ID:85018507225,Peking University,Beijing,China
SCOPUS_ID:24744449069,Peking University,Beijing,China
SCOPUS_ID:0141724760,Peking University,Beijing,China
SCOPUS_ID:84859978325,Peking University,Beijing,China
SCOPUS_ID:65349104569,Peking University,Beijing,China
SCOPUS_ID:0029512963,Peking University,Beijing,China
SCOPUS_ID:0028880240,Peking University,Beijing,China
SCOPUS_ID:85019362978,Peking University,Beijing,China
SCOPUS_ID:72749102808,Shenzhen University,"Qingshuihe, Shenzhen",China
SCOPUS_ID:72149093492,Peking University,Beijing,China
SCOPUS_ID:85016287967,Peking University,Beijing,China
SCOPUS_ID:85027685157,Peking University,Beijing,China
SCOPUS_ID:77949885204,Peking University,Beijing,China
SCOPUS_ID:57249098377,Peking University,Beijing,China
SCOPUS_ID:84860126383,Qilu Hospital of Shandong University,Jinan,China
SCOPUS_ID:82855164033,Qilu Hospital of Shandong University,Jinan,China
SCOPUS_ID:84938901914,Peking University,Beijing,China
SCOPUS_ID:84954569875,Peking University,Beijing,China
SCOPUS_ID:84929501578,Peking University,Beijing,China
SCOPUS_ID:84882960644,Peking University,Beijing,China
SCOPUS_ID:84892558997,Peking University,Beijing,China
SCOPUS_ID:84892558997,University of Tennessee Health Science Center,Memphis,United States
SCOPUS_ID:77956224713,Peking University,Beijing,China
SCOPUS_ID:64849100991,Peking University,Beijing,China
SCOPUS_ID:84946691081,Peking University,Beijing,China
SCOPUS_ID:84946687834,Peking University,Beijing,China
SCOPUS_ID:84946687834,Peking University,Beijing,China
