scopus_id,article_number,title,eid,citedby_count,creator,aggregationType,coverDate,coverDisplayDate,doi,eIssn,issn,issueIdentifier,pageRange,publication,url,volume,subtype,subtype_description
SCOPUS_ID:85014427266,0102006,Fabrication of double-helix microstructures by two-photon polymerization,2-s2.0-85014427266,0,Liu L.,Journal,2017-01-10,10 January 2017,10.3788/CJL201744.0102006,,02587025,1,,Zhongguo Jiguang/Chinese Journal of Lasers,http://api.elsevier.com/content/abstract/scopus_id/85014427266,44,ar,Article
SCOPUS_ID:85019417641,100920B,Femtosecond laser nano/microfabrication via three-dimensional focal field engineering,2-s2.0-85019417641,0,Li Y.,Conference Proceeding,2017-01-01,2017,10.1117/12.2249533,1996756X,0277786X,,,Proceedings of SPIE - The International Society for Optical Engineering,http://api.elsevier.com/content/abstract/scopus_id/85019417641,10092,cp,Conference Paper
SCOPUS_ID:84925485473,,Controlling Young¡¯s modulus of polymerized structures fabricated by direct laser writing,2-s2.0-84925485473,0,Zhang S.,Journal,2014-01-01,2014,10.1007/s00339-014-8787-3,14320630,09478396,2,437-441,Applied Physics A: Materials Science and Processing,http://api.elsevier.com/content/abstract/scopus_id/84925485473,118,ar,Article
SCOPUS_ID:0036813148,,Frequent mtDNA mutations and its role in gastric carcinogenesis,2-s2.0-0036813148,2,Liu M.,Journal,2002-10-01,October 2002,10.1360/02tb9377,,10016538,20,1720-1724,Chinese Science Bulletin,http://api.elsevier.com/content/abstract/scopus_id/0036813148,47,ar,Article
SCOPUS_ID:0036280575,,Rapid screening mitochondrial DNA mutation by using denaturing high-performance liquid chromatography,2-s2.0-0036280575,29,Liu M.,Journal,2002-07-08,2002,,,10079327,3,426-430,World Journal of Gastroenterology,http://api.elsevier.com/content/abstract/scopus_id/0036280575,8,ar,Article
SCOPUS_ID:0036824404,,Influence of DNA polymerases on mutation screening of denaturing high-performance liquid chromatography,2-s2.0-0036824404,1,Liu M.,Journal,2002-01-01,Oct 2002,,,1000467X,10,1160-1163,Ai zheng = Aizheng = Chinese journal of cancer,http://api.elsevier.com/content/abstract/scopus_id/0036824404,21,ar,Article
SCOPUS_ID:84964691162,,Interaction of uromodulin and complement factor H enhances C3b inactivation,2-s2.0-84964691162,1,Liu M.,Journal,2016-10-01,1 October 2016,10.1111/jcmm.12872,,15821838,10,1821-1828,Journal of Cellular and Molecular Medicine,http://api.elsevier.com/content/abstract/scopus_id/84964691162,20,ar,Article
SCOPUS_ID:84934934931,e0126812,Implication of urinary complement factor H in the progression of immunoglobulin A nephropathy,2-s2.0-84934934931,1,Liu M.,Journal,2015-06-02,2 June 2015,10.1371/journal.pone.0126812,19326203,,6,,PLoS ONE,http://api.elsevier.com/content/abstract/scopus_id/84934934931,10,ar,Article
SCOPUS_ID:84885432168,,Novel UMOD mutations in familial juvenile hyperuricemic nephropathy lead to abnormal uromodulin intracellular trafficking,2-s2.0-84885432168,4,Liu M.,Journal,2013-12-01,1 December 2013,10.1016/j.gene.2013.08.041,18790038,03781119,2,363-369,Gene,http://api.elsevier.com/content/abstract/scopus_id/84885432168,531,ar,Article
SCOPUS_ID:84975476836,,The new intravenous P2Y<inf>12</inf> receptor antagonist cangrelor,2-s2.0-84975476836,0,Liu M.,Journal,2016-06-15,15 June 2016,,,10033734,11,1201-1205,Chinese Journal of New Drugs,http://api.elsevier.com/content/abstract/scopus_id/84975476836,25,re,Review
